[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001802s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001941s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002290s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002415s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.021236s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021341s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.001144s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.001359s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001024s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001257s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005059s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001275s ]
[ 2013-03-11T14:33:10+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001358s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001371s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001548s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001478s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001612s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010990s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011101s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000869s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000896s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000725s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000954s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003705s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000973s ]
[ 2013-03-11T14:35:09+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001057s ]
[ 2013-03-11T14:36:59+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
