[ 2012-10-14T17:40:16+08:00 ] /Ibike/?5=&p=12 | INFO: Tag[ app_begin ] --START--
[ 2012-10-14T17:40:16+08:00 ] /Ibike/?5=&p=12 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.035515s ]
[ 2012-10-14T17:40:16+08:00 ] /Ibike/?5=&p=12 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.083094s ]
[ 2012-10-14T17:40:18+08:00 ] /Ibike/?5=&p=12 | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.591670s ]
[ 2012-10-14T17:40:18+08:00 ] /Ibike/?5=&p=12 | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-10-14T17:40:18+08:00 ] /Ibike/?5=&p=12 | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.016412s ]
[ 2012-10-14T17:40:18+08:00 ] /Ibike/?5=&p=12 | SQL: SELECT * FROM `think_user` LIMIT 55,5   [ RunTime:0.029565s ]
[ 2012-10-14T17:40:18+08:00 ] /Ibike/?5=&p=12 | INFO: Tag[ view_template ] --START--
[ 2012-10-14T17:40:18+08:00 ] /Ibike/?5=&p=12 | INFO: Run LocationTemplate Behavior [ RunTime:0.021641s ]
[ 2012-10-14T17:40:18+08:00 ] /Ibike/?5=&p=12 | INFO: Tag[ view_template ] --END-- [ RunTime:0.021869s ]
[ 2012-10-14T17:40:18+08:00 ] /Ibike/?5=&p=12 | INFO: Tag[ view_parse ] --START--
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Run ParseTemplate Behavior [ RunTime:0.517397s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.517574s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Tag[ view_filter ] --START--
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Run ContentReplace Behavior [ RunTime:0.018440s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Run TokenBuild Behavior [ RunTime:0.008912s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005831s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Run ShowRuntime Behavior [ RunTime:0.012319s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.045856s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Tag[ view_end ] --START--
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Run ShowPageTrace Behavior [ RunTime:0.012737s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/?5=&p=12 | INFO: Tag[ view_end ] --END-- [ RunTime:0.012908s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-10-14T17:40:19+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.052248s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.052388s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-10-14T17:40:19+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002763s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002885s ]
[ 2012-10-14T17:40:19+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
