[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ route_check ] --START--
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run CheckRoute Behavior [ RunTime:0.002269s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ route_check ] --END-- [ RunTime:0.002411s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ app_begin ] --START--
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001520s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001612s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [2] Missing argument 2 for FileAction::output_look(), called in C:\wamp\Ibike\Home\Lib\Action\IndexAction.class.php on line 18 and defined FileAction.class.php 第 87 行.
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.006093s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [8] Undefined variable: field FileAction.class.php 第 89 行.
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | SQL: SELECT *FROM think_goods WHERE goods_num='515A9C678812D'; [ RunTime:0.001163s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | SQL: SHOW COLUMNS FROM `think_rent_goods` [ RunTime:0.005579s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' FileAction.class.php 第 122 行.
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | SQL: SELECT *FROM think_rent_goods WHERE goods_num='515A9C678812D'; [ RunTime:0.000756s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_template ] --START--
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run LocationTemplate Behavior [ RunTime:0.002246s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_template ] --END-- [ RunTime:0.002344s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_parse ] --START--
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [8] Undefined variable: data1 d78b869f7b38a9655ce6747b57cd5005.php 第 646 行.
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [8] Undefined variable: data1 d78b869f7b38a9655ce6747b57cd5005.php 第 661 行.
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [8] Undefined index: sale_price d78b869f7b38a9655ce6747b57cd5005.php 第 667 行.
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run ParseTemplate Behavior [ RunTime:0.024880s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024955s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_filter ] --START--
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run ContentReplace Behavior [ RunTime:0.001939s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run TokenBuild Behavior [ RunTime:0.002212s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001124s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run ShowRuntime Behavior [ RunTime:0.001305s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006892s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_end ] --START--
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run ShowPageTrace Behavior [ RunTime:0.001284s ]
[ 2013-04-02T17:12:50+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_end ] --END-- [ RunTime:0.001366s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ route_check ] --START--
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run CheckRoute Behavior [ RunTime:0.001964s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ route_check ] --END-- [ RunTime:0.002098s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ app_begin ] --START--
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001348s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001432s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [2] Missing argument 2 for FileAction::output_look(), called in C:\wamp\Ibike\Home\Lib\Action\IndexAction.class.php on line 18 and defined FileAction.class.php 第 87 行.
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.009366s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [8] Undefined variable: field FileAction.class.php 第 89 行.
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | SQL: SELECT *FROM think_goods WHERE goods_num='515A9C678812D'; [ RunTime:0.001027s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | SQL: SHOW COLUMNS FROM `think_rent_goods` [ RunTime:0.007899s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' FileAction.class.php 第 122 行.
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | SQL: SELECT *FROM think_rent_goods WHERE goods_num='515A9C678812D'; [ RunTime:0.000628s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_template ] --START--
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run LocationTemplate Behavior [ RunTime:0.002140s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_template ] --END-- [ RunTime:0.002236s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_parse ] --START--
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [8] Undefined variable: data1 d78b869f7b38a9655ce6747b57cd5005.php 第 646 行.
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [8] Undefined variable: data1 d78b869f7b38a9655ce6747b57cd5005.php 第 661 行.
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | NOTIC: [8] Undefined index: sale_price d78b869f7b38a9655ce6747b57cd5005.php 第 667 行.
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run ParseTemplate Behavior [ RunTime:0.030456s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030532s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_filter ] --START--
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run ContentReplace Behavior [ RunTime:0.001717s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run TokenBuild Behavior [ RunTime:0.001354s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001037s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run ShowRuntime Behavior [ RunTime:0.001290s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005675s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_end ] --START--
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Run ShowPageTrace Behavior [ RunTime:0.001462s ]
[ 2013-04-02T17:12:51+08:00 ] /Ibike/index.php/Index/test?goods_num=515A9C678812D | INFO: Tag[ view_end ] --END-- [ RunTime:0.001548s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ route_check ] --START--
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Run CheckRoute Behavior [ RunTime:0.002125s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002266s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001418s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001506s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005562s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | SQL: DELETE FROM think_shopcar WHERE 1364893972-add_time>20 AND state=0; [ RunTime:0.000745s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ view_template ] --START--
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002211s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002309s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019421s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019528s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001492s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001317s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001037s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001393s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005507s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ view_end ] --START--
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001326s ]
[ 2013-04-02T17:12:52+08:00 ] /Ibike/index.php/Index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001410s ]
