[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | SQL: SELECT goods_service,goods_num,goods_name,goods_pic FROM think_goods WHERE goods_num='515424C6F1A93'; [ RunTime:0.000872s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | NOTIC: [8] Undefined index: desc_pic FileAction.class.php 第 104 行.
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | NOTIC: [8] Undefined index: goods_para FileAction.class.php 第 107 行.
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | NOTIC: [8] Undefined index: shelf_time FileAction.class.php 第 110 行.
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' FileAction.class.php 第 116 行.
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515424C6F1A93'; [ RunTime:0.000843s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Tag[ view_template ] --START--
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Run LocationTemplate Behavior [ RunTime:0.002205s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Tag[ view_template ] --END-- [ RunTime:0.002308s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Tag[ view_parse ] --START--
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | NOTIC: [8] Undefined index: goods_num 33aa95e6e5532a30e21f14d290c3e8e5.php 第 426 行.
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | NOTIC: [8] Undefined index: goods_num 33aa95e6e5532a30e21f14d290c3e8e5.php 第 426 行.
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | NOTIC: [8] Undefined index: goods_num 33aa95e6e5532a30e21f14d290c3e8e5.php 第 426 行.
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Run ParseTemplate Behavior [ RunTime:0.025980s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026054s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Tag[ view_filter ] --START--
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Run ContentReplace Behavior [ RunTime:0.001616s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Run TokenBuild Behavior [ RunTime:0.001383s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001724s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Run ShowRuntime Behavior [ RunTime:0.001345s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006356s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Tag[ view_end ] --START--
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Run ShowPageTrace Behavior [ RunTime:0.001340s ]
[ 2013-04-12T16:29:40+08:00 ] /Ibike/index.php/Order/order_output | INFO: Tag[ view_end ] --END-- [ RunTime:0.001426s ]
[ 2013-04-12T16:29:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-12T16:29:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.002486s ]
[ 2013-04-12T16:29:50+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.002634s ]
