[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | INFO: Tag[ route_check ] --START--
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.024218s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.030715s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.014798s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.014884s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.085564s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: DELETE FROM think_shopcar WHERE 1366356606-add_time>20 AND state='临时'; [ RunTime:0.030484s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.163136s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: SELECT *FROM think_goods ORDER BY shelf_time; [ RunTime:0.048690s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: SHOW COLUMNS FROM `think_sale_goods` [ RunTime:0.136998s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='51542427CABFA'; [ RunTime:0.000992s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515424C6F1A93'; [ RunTime:0.000880s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425541304D'; [ RunTime:0.000868s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425D7343D3'; [ RunTime:0.000847s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154267E6B8A7'; [ RunTime:0.000897s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515426F99700C'; [ RunTime:0.000861s ]
[ 2013-04-19T15:30:06+08:00 ] /Ibike/index.php/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
