[ 2013-03-07T09:07:32+08:00 ] /Ibike/ | ERR: (ThinkException) Unknown database 'ultrax'
[ 2013-03-07T09:08:40+08:00 ] /Ibike/ | ERR: (ThinkException) Unknown database 'ultrax'
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003361s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003499s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.004991s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000584s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.000603s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.054656s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.054757s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.104306s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.104412s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.018645s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.020520s ]
[ 2013-03-07T09:09:40+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.015961s ]
