[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | SQL: SELECT goods_service,goods_num,goods_name,goods_pic FROM think_goods WHERE goods_num='51542427CABFA'; [ RunTime:0.000995s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: desc_pic FileAction.class.php 第 104 行.
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: goods_para FileAction.class.php 第 107 行.
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: shelf_time FileAction.class.php 第 110 行.
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' FileAction.class.php 第 116 行.
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | SQL: SELECT *FROM think_sale_goods WHERE goods_num='51542427CABFA'; [ RunTime:0.000988s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Tag[ view_template ] --START--
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001286s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001379s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: username 7e4848229090366086cc7eeb3bfc0798.php 第 296 行.
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.022635s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022718s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001900s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001194s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000955s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001738s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006090s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Tag[ view_end ] --START--
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.002813s ]
[ 2013-04-09T22:09:58+08:00 ] /Ibike/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.002941s ]
[ 2013-04-09T22:10:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-09T22:10:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.002303s ]
[ 2013-04-09T22:10:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.002448s ]
[ 2013-04-09T22:10:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T22:10:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001491s ]
[ 2013-04-09T22:10:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001583s ]
[ 2013-04-09T22:10:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005760s ]
[ 2013-04-09T22:10:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365516606 WHERE username='fl59hk33g7nhmldcksn457h636'; [ RunTime:0.001038s ]
[ 2013-04-09T22:10:07+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-09T22:10:07+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001297s ]
[ 2013-04-09T22:10:07+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001433s ]
[ 2013-04-09T22:10:07+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T22:10:07+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001090s ]
[ 2013-04-09T22:10:07+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001176s ]
[ 2013-04-09T22:10:07+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.007114s ]
[ 2013-04-09T22:10:07+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365516607 WHERE username='gl43vdpl60mk1kasrtgpm9shg2'; [ RunTime:0.001446s ]
[ 2013-04-09T22:10:09+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-09T22:10:09+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001477s ]
[ 2013-04-09T22:10:09+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001633s ]
[ 2013-04-09T22:10:09+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T22:10:09+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001157s ]
[ 2013-04-09T22:10:09+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001245s ]
[ 2013-04-09T22:10:09+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.007270s ]
[ 2013-04-09T22:10:09+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365516609 WHERE username='gl43vdpl60mk1kasrtgpm9shg2'; [ RunTime:0.002579s ]
[ 2013-04-09T22:10:16+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-09T22:10:16+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001341s ]
[ 2013-04-09T22:10:16+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001475s ]
[ 2013-04-09T22:10:16+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T22:10:16+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001096s ]
[ 2013-04-09T22:10:16+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001179s ]
[ 2013-04-09T22:10:16+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005539s ]
[ 2013-04-09T22:10:16+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365516616 WHERE username='fl59hk33g7nhmldcksn457h636'; [ RunTime:0.001044s ]
[ 2013-04-09T22:10:17+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-09T22:10:17+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001349s ]
[ 2013-04-09T22:10:17+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001487s ]
[ 2013-04-09T22:10:17+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T22:10:17+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001226s ]
[ 2013-04-09T22:10:17+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001338s ]
[ 2013-04-09T22:10:17+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.007791s ]
[ 2013-04-09T22:10:17+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365516617 WHERE username='gl43vdpl60mk1kasrtgpm9shg2'; [ RunTime:0.001307s ]
[ 2013-04-09T22:10:19+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-09T22:10:19+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001381s ]
[ 2013-04-09T22:10:19+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001521s ]
[ 2013-04-09T22:10:19+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T22:10:19+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001110s ]
[ 2013-04-09T22:10:19+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001195s ]
[ 2013-04-09T22:10:19+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005565s ]
[ 2013-04-09T22:10:19+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365516619 WHERE username='gl43vdpl60mk1kasrtgpm9shg2'; [ RunTime:0.000875s ]
[ 2013-04-09T22:10:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-09T22:10:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001325s ]
