[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ route_check ] --START--
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run CheckRoute Behavior [ RunTime:0.001462s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001610s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ app_begin ] --START--
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001196s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001287s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.006464s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class PSCWS23_Dict dict.class.php 第 48 行.
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class xdb_Dictionary dict.class.php 第 148 行.
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class dba_Dictionary dict.class.php 第 201 行.
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class sql_Dictionary dict.class.php 第 257 行.
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class txt_Dictionary dict.class.php 第 315 行.
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [8] Undefined index: search SearchAction.class.php 第 37 行.
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class XDB_R xdb_r.class.php 第 34 行.
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [8] Only variable references should be returned by reference pscws2.class.php 第 370 行.
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | SQL: SELECT *FROM think_goods ORDER BY shelf_time; [ RunTime:0.002256s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | SQL: SHOW COLUMNS FROM `think_sale_goods` [ RunTime:0.005826s ]
[ 2013-04-15T18:13:50+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 59 行.
