[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.034358s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.035444s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.119234s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: DELETE FROM think_shopcar WHERE 1366250825-add_time>20 AND state='临时'; [ RunTime:0.030452s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.079840s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_goods ORDER BY shelf_time; [ RunTime:0.031952s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_sale_goods` [ RunTime:0.069412s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='51542427CABFA'; [ RunTime:0.001016s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515424C6F1A93'; [ RunTime:0.000894s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425541304D'; [ RunTime:0.000893s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425D7343D3'; [ RunTime:0.000873s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154267E6B8A7'; [ RunTime:0.000870s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515426F99700C'; [ RunTime:0.000898s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154274F61CA7'; [ RunTime:0.000870s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D0B9537DB'; [ RunTime:0.000885s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D1F224754'; [ RunTime:0.000870s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D24AA9A94'; [ RunTime:0.000873s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D2E00FA45'; [ RunTime:0.000880s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D336E32D4'; [ RunTime:0.000898s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D37DC7E1A'; [ RunTime:0.000872s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D418E6E0A'; [ RunTime:0.000872s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D48BE0BBB'; [ RunTime:0.000890s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D4E63893C'; [ RunTime:0.000870s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D52A78126'; [ RunTime:0.000893s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_rent_goods` [ RunTime:0.058440s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 21 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_rent_goods WHERE goods_num='515A9C678812D'; [ RunTime:0.000972s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | NOTIC: [8] Undefined index: username ShopcarAction.class.php 第 104 行.
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | SQL: SELECT *FROM think_shopcar WHERE username='00h2ur183pgkrsal1e5mcf6ce5'; [ RunTime:0.014160s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.032044s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.032147s ]
[ 2013-04-18T10:07:05+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | NOTIC: [8] Undefined index: username 7e4848229090366086cc7eeb3bfc0798.php 第 313 行.
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.191937s ]
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.192018s ]
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.016917s ]
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.012053s ]
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.007840s ]
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.012204s ]
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.049353s ]
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-04-18T10:07:06+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.014545s ]
