[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ route_check ] --START--
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Run CheckRoute Behavior [ RunTime:0.001386s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ route_check ] --END-- [ RunTime:0.001525s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ app_begin ] --START--
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001146s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001233s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.007351s ]
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [2048] Redefining already defined constructor for class PSCWS23_Dict dict.class.php 第 48 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [2048] Redefining already defined constructor for class xdb_Dictionary dict.class.php 第 148 行.
[ 2013-04-27T19:44:09+08:00 ] /Ibike/index.php/Search/condition?goods_service=%E5%87%BA%E5%94%AE&search=%E5%A5%94%E9%A9%B0& | NOTIC: [2048] Redefining already defined constructor for class dba_Dictionary dict.class.php 第 201 行.
